comment,created_at,attitudes,platform
China Tensions Put Japan’s Islands on the Frontline #china #Japan #taiwan,2025-12-09,44,youtube
Japan is learning from India about how to Fight China #Japan #China #India,2025-12-08,387,youtube
China tells Japan to stop 'irresponsible hype' over radar incident | East Asia Tonight (Dec 8),2025-12-08,327,youtube
Fighter Jet Standoff: How Japan & China Came Close to A Potential Conflict | Vantage | Palki Sharma,2025-12-08,219,youtube
China-Japan Mid-air Faceoff: Beijing Explains Why JF-15 Jet Locked Radar On F-15 | 'HALT HARASSMENT',2025-12-08,216,youtube
Beijing's 'Sun Tzu' Policy: Xi's Warfare Strategy In Spotlight Amid China-Japan Tensions Over Taiwan,2025-12-08,430,youtube
"China-Japan Tensions: Japan Accuses Chinese Jets Of Radar 'Lock' Near Okinawa, China Refutes Claim",2025-12-08,43,youtube
China & Russia Test East Asia’s Nerves — Skies Heat Up Near South Korea | Vantage with Palki Sharma,2025-12-09,349,youtube
Japan-China Tensions Rise as Tokyo Accuses Chinese Jets of Radar Lock | WION,2025-12-07,100,youtube
China Jets Lock Radar On Japan F-15 Planes Twice? Tensions Escalate Near Miyako Strait | Watch,2025-12-08,47,youtube
China Jets Lock Radars on Japan During Liaoning Carrier Drills Near Okinawa | Taiwan Talks EP729,2025-12-09,263,youtube
China expresses strong opposition to Japan over Liaoning drills,2025-12-08,488,youtube
China-Japan Fight Explodes Mid-air As Chinese J-15 Jet Locks Radar To Fire At Japanese Aircraft,2025-12-07,368,youtube
Rising tensions between China and Japan over Taiwan | DW News,2025-11-18,381,youtube
Japan reacts to China's travel warning,2025-11-17,359,youtube
"Japan-China diplomatic flare-up 'just starting,' says analyst",2025-11-21,393,youtube
Japan warns China after radar lock incident near disputed islands,2025-12-07,257,youtube
"JAPAN, CHINA ON EDGE: Radar Lock Standoff Pushes Beijing–Tokyo to Breaking Point | Times Now World",2025-12-09,64,youtube
"China Japan Clash Could Drag on For Years, Taiwan Says",2025-12-02,420,youtube
Why China is ramping up its retaliation on Japan over Taiwan,2025-11-26,225,youtube
"After Scaring Japan Fighter Jets, China-Russia Joint Missile War Move Spooks West?| Ukraine| Taiwan",2025-12-08,250,youtube
"Taiwan, Japan voice concern over Chinese military",2025-12-07,185,youtube
"China Japan Clash Over 'Fighter Jet Radar Lock', Xi Declares War On Takaichi? | Crux Decode | 4K",2025-12-09,91,youtube
China-Japan Push Region to Brink of All-Out War,2025-12-08,464,youtube
चीन की नियत का अंत नहीं! #shorts #shortsfeed #china #japan #taiwan #news #asia #tension #asiannews,2025-12-07,391,youtube
Japan Says It Is ‘Closely Monitoring’ Chinese Military Movements in Region | APT,2025-12-05,322,youtube
"As France Threatens To CANCEL China's Exports, Japan Begins To Trigger U.S. Bond Crash",2025-12-09,201,youtube
China vs Japan: The Senkaku Islands Naval Standoff EXPLAINED #shorts,2025-12-06,412,youtube
"Xi Goes To War? China 'Locks Radar' On Japan F-15s, 'Fires Flares' At Philippine Jet | Takaichi | 4K",2025-12-07,273,youtube
China threatens more countermeasures over Japan PM's Taiwan remarks | The World | ABC NEWS,2025-11-19,222,youtube
Japan Vs China Air Battle Begins? Takaechi's Jets Roar To Intercept 'Xi's Drones' | Taiwan Tensions,2025-12-01,225,youtube
China-Japan Tensions: China Asks Japan to Take Concrete Steps to Stabilise Bilateral Ties | WION,2025-11-22,113,youtube
How Did China React to Japan’s Warning?,2025-11-18,46,youtube
China–Japan Tension Rises… and Australia Steps In!,2025-12-09,277,youtube
Japan’s Missile Shift Sparks Fresh Questions Over China–Taiwan Tensions | Japan China News | 4K,2025-11-25,444,youtube
China-Japan Standoff: Military Tensions Flare Over Disputed Islands | Vantage with Palki Sharma,2025-12-02,31,youtube
Japan-China tensions spill over to Japanese seafood industry,2025-11-20,430,youtube
