Tweet ID,Text,Created At,Retweet Count,Reply Count,Like Count,Quote Count,Source
1998802934948311214,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802929336397857,"RT @Globalsurv: BREAKING; Pacific Tension Spikes as Major Powers Move Into conflict Position !!

CHINA’s Liaoning carrier strike group alon…",,,,,,
1998802927000097237,"RT @BJP4India: While India surged ahead with 8.2% growth, the world’s major economies struggled to keep pace:

US: ~3.8%
China: ~4.8%
Japan…",,,,,,
1998802899225424135,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802872243466642,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802870372810950,"RT @MsMelChen: “Japan threatening us militarily,” says China’s foreign minister. 

Odd thing to say when two 🇨🇳 Chinese J-15 jets just lock…",,,,,,
1998802862076473372,"RT @OopsGuess: 🇺🇸🇨🇳🇯🇵 Pete Hegseth said:
We are not trying to strangle China's growth. 
We are not trying to dominate or humiliate them, no…",,,,,,
1998802859807375360,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802841893507164,"Russia and China conducted a joint 8-hour air patrol over the western Pacific, covering the Sea of Japan and East China Sea. South Korea reportedly scrambled jets in response.

Follow Press TV on Telegram: https://t.co/h0eMpigtxM https://t.co/oUSByeL4uY",,,,,,
1998802838227738801,"RT @MsMelChen: “Japan threatening us militarily,” says China’s foreign minister. 

Odd thing to say when two 🇨🇳 Chinese J-15 jets just lock…",,,,,,
1998802772452585939,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802763782959245,RT @GordonGChang: China’s regime flatters itself. The submarines of Japan’s Maritime Self-Defense Force can finish off the Liaoning anytime…,,,,,,
1998802756782723140,"RT @slantchev: The full version of NSS effectively proposes to destroy the EU and exclude Europe altogether from international relations, t…",,,,,,
1998802737887326342,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802733248479593,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802732321485275,RT @royngerng: China is using WW2 documents to accuse Japan of militarizing &amp; re-arming for war. But it was ROC which signed the WW2 docume…,,,,,,
1998802716236329445,RT @GordonGChang: China’s regime flatters itself. The submarines of Japan’s Maritime Self-Defense Force can finish off the Liaoning anytime…,,,,,,
1998802700545479113,"RT @MsMelChen: “Japan threatening us militarily,” says China’s foreign minister. 

Odd thing to say when two 🇨🇳 Chinese J-15 jets just lock…",,,,,,
1998802695034122623,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802675962622464,"RT @YusufDFI: A longer and unpublished version of Trump NSS proposes the creation of a “Core 5,” or C5, made up of the U.S., China, Russia,…",,,,,,
1998802673655755181,@HimeOnion @CeofEinova I doubt there be any lore anytime soon with the heavy war talks china and Japan got going,,,,,,
1998802672003199005,"RT @avivector: Today, December 9, the Russian Aerospace Forces and the People’s Liberation Army Air Force conducted joint large-scale exerc…",,,,,,
1998802665166483914,"RT @jacksonhinklle: 🚨🇨🇳🇰🇭 BREAKING: Cambodia has recently 'reaffirmed' their commitment to the 'One-China Principle,' something which Thail…",,,,,,
1998802659802042693,RT @ModJapan_en: Remarks by Defense Minister against China’s Claims on the Radar Incident against Japan Air Self-Defense Force Aircraft by…,,,,,,
1998802646074081561,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802639388291510,"RT @royngerng: China keeps threatening, we need to push back with facts:
1) China didn't fight WW2, it was ROC
2) China isn't the successor…",,,,,,
1998802624775336295,"RT @jacksonhinklle: 🚨🇨🇳🇰🇭 BREAKING: Cambodia has recently 'reaffirmed' their commitment to the 'One-China Principle,' something which Thail…",,,,,,
1998802620253892918,RT @GordonGChang: China is about to start a war with Japan. Now is the time to stop Xi Jinping from bringing everything down. See: https://…,,,,,,
1998802619188568331,"@ChinaMilBugle Why did China find it desirable to antagonize Japan with war games so close to Japan?
Why not do your war games near the coast of North Korea?",,,,,,
1998802618051866945,"RT @thehealthb0t: Countries that have banned the adding fluoride to the water:
▪︎ China
▪︎ Austria 
▪︎ Belgium 
▪︎ Finland 
▪︎ Germany 
▪︎…",,,,,,
1998802615136919683,"RT @MsMelChen: “Japan threatening us militarily,” says China’s foreign minister. 

Odd thing to say when two 🇨🇳 Chinese J-15 jets just lock…",,,,,,
1998802605137690942,"RT @RianBeatergod02: Star rail : Given the current Japan-China relations, maybe we should hold back on releasing characters/region with jap…",,,,,,
1998802601458979056,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
1998802599634698642,RT @esjesjesj: Japan literally committed a genocide in China,,,,,,
