topic_id,rank,word,weight
0,1,中国,0.069732755
0,2,游客,0.053073697
0,3,旅游,0.033093296
0,4,泰国,0.031025628
0,5,韩国,0.028353317
0,6,航空,0.01806864
0,7,新加坡,0.016545625
0,8,日本,0.015236309
0,9,航线,0.013866819
0,10,酒店,0.012284741
0,11,预订,0.011916909
0,12,取消,0.009687054
0,13,报道,0.009625513
0,14,观光,0.009448714
0,15,增长,0.008818947
0,16,相关,0.008814458
0,17,航班,0.008299864
0,18,入境,0.008135163
0,19,显示,0.007973166
0,20,旅行,0.007386007
1,1,日报,0.021872986
1,2,高端,0.01594401
1,3,市场,0.015769523
1,4,企业,0.015331051
1,5,全球,0.012175847
1,6,承接,0.011795835
1,7,春季,0.011516726
1,8,合作,0.010808865
1,9,受益,0.010783186
1,10,投资,0.009500356
1,11,产业,0.00937113
1,12,替代,0.008392048
1,13,领域,0.008272741
1,14,品牌,0.0074026417
1,15,光刻胶,0.0072902464
1,16,机遇,0.0070848507
1,17,中日韩,0.0068925694
1,18,四国,0.0067920233
1,19,中旬,0.0065288064
1,20,经营,0.006374717
2,1,日本,0.06420616
2,2,中国,0.034772668
2,3,中日,0.025211934
2,4,美国,0.018836109
2,5,之间,0.008324874
2,6,这个,0.008156211
2,7,还是,0.0081443535
2,8,发生,0.00733561
2,9,法西斯,0.0067742956
2,10,不要,0.0062956745
2,11,国乒,0.0061253216
2,12,中日关系,0.0060086995
2,13,感到,0.0057843467
2,14,经济,0.0057468284
2,15,特朗普,0.005066436
2,16,绝望,0.0049249367
2,17,战争,0.0047637112
2,18,愿意,0.0045777294
2,19,国家,0.004464331
2,20,冲突,0.0044524265
3,1,日本,0.076020494
3,2,高市,0.07128701
3,3,早苗,0.0451032
3,4,言论,0.028907554
3,5,涉台,0.011570417
3,6,中日关系,0.009717994
3,7,中国,0.009268259
3,8,辽宁,0.00895861
3,9,中日,0.008277011
3,10,引发,0.0081896745
3,11,撤回,0.008102979
3,12,经济,0.008073268
3,13,日本首相,0.00791646
3,14,台湾,0.00749948
3,15,国内,0.0068785287
3,16,报道,0.006876578
3,17,鸠山由纪夫,0.006777384
3,18,危机,0.0065924884
3,19,战斗机,0.006564852
3,20,访华,0.006462917
4,1,亲子,0.06471906
4,2,机构,0.052646473
4,3,鉴定,0.051173072
4,4,地址,0.037629865
4,5,北京,0.036523018
4,6,北京市,0.034625657
4,7,法医,0.02688425
4,8,司法鉴定,0.024145626
4,9,经营范围,0.018827094
4,10,中心,0.018390955
4,11,医学,0.016220985
4,12,医院,0.016096363
4,13,中基,0.014896197
4,14,采样,0.014319762
4,15,咨询,0.012977164
4,16,临床,0.012342811
4,17,司法,0.009988516
4,18,聊城,0.009900191
4,19,胎儿,0.009744678
4,20,无创,0.008742583
5,1,亲子鉴定,0.2371756
